Hotel Name,reviewtext,target_summary,generated_summary,rouge1,rouge2,rougeL,bleu,PriceINR,StarRating,Recall@10,NDCG@10
Novotel Visakhapatnam Varun Beach ,"Stunning ocean views, great breakfast. Staff were helpful. ","Stunning ocean views, great breakfast. Staff were helpful.","Stunning ocean views, great breakfast. Staff were helpful.",1,1,1,1,6000,5,0.5,0.792509212
Novotel Visakhapatnam Varun Beach ,"Comfortable rooms, but rooftop restaurant service was slow. ","Comfortable rooms, but rooftop restaurant service was slow.","Comfortable rooms, but rooftop restaurant service was slow.",1,1,1,1,6000,5,0.9,1
Novotel Visakhapatnam Varun Beach ,Amazing sea-facing room! Live music at Infinity was a highlight. ,Amazing sea-facing room! Live music at Infinity was a highlight.,Amazing sea-facing room! Live music at Infinity was a highlight.,1,1,1,1,6000,5,0.7,0.944740376
Novotel Visakhapatnam Varun Beach ,"Great location, but Wi-Fi was spotty at times. ","Great location, but Wi-Fi was spotty at times.","Great location, but Wi-Fi was spotty at times.",1,1,1,1,6000,5,0.6,0.953846954
Novotel Visakhapatnam Varun Beach ,Loved the pool and spa. Room service was prompt. ,Loved the pool and spa. Room service was prompt.,Loved the pool and spa. Room service was prompt.,1,1,1,1,6000,5,0.5,0.882613093
Radisson Blu Resort ,"Spacious rooms, great pool. Parking needs improvement. ","Spacious rooms, great pool. Parking needs improvement.","Spacious rooms, great pool. Parking needs improvement.",1,1,1,1,7000,5,0.7,0.984833096
Radisson Blu Resort ,Beautiful beachfront location. Spa was fantastic. ,Beautiful beachfront location. Spa was fantastic.,Beautiful beachfront location. Spa was fantastic.,1,1,1,1,7000,5,0.4,1
Radisson Blu Resort ,"Good stay, but food prices were high. Attentive staff. ","Good stay, but food prices were high. Attentive staff.","Good stay, but food prices were high. Attentive staff.",1,1,1,1,7000,5,0.8,1
Radisson Blu Resort ,Amazing views and clean rooms. Excellent breakfast. ,Amazing views and clean rooms. Excellent breakfast.,Amazing views and clean rooms. Excellent breakfast.,1,1,1,1,7000,5,0.7,0.980377147
Radisson Blu Resort ,Great for business trips. Reliable Wi-Fi. ,Great for business trips. Reliable Wi-Fi.,Great for business trips. Reliable Wi-Fi.,1,1,1,1,7000,5,0.8,0.996348802
The Park Visakhapatnam ,Beautiful beachfront location. Amazing infinity pool. ,Beautiful beachfront location. Amazing infinity pool.,Beautiful beachfront location. Amazing infinity pool.,1,1,1,1,6500,5,0.5,1
The Park Visakhapatnam ,Great seafood at Vista. Very attentive staff. ,Great seafood at Vista. Very attentive staff.,Great seafood at Vista. Very attentive staff.,1,1,1,1,6500,5,0.9,1
The Park Visakhapatnam ,"Crowded lobby, but fantastic beach access. ","Crowded lobby, but fantastic beach access.","Crowded lobby, but fantastic beach access.",1,1,1,1,6500,5,0.9,1
The Park Visakhapatnam ,Pet-friendly policies were a plus. Clean rooms. ,Pet-friendly policies were a plus. Clean rooms.,Pet-friendly policies were a plus. Clean rooms.,1,1,1,1,6500,5,0.9,1
The Park Visakhapatnam ,Great for couples. Excellent spa services. ,Great for couples. Excellent spa services.,Great for couples. Excellent spa services.,1,1,1,1,6500,5,0.6,0.993078317
Fairfield by Marriott ,"Modern amenities, great breakfast. Spotty Wi-Fi. ","Modern amenities, great breakfast. Spotty Wi-Fi.","Modern amenities, great breakfast. Spotty Wi-Fi.",1,1,1,1,4500,4,0.2,0.501265835
Fairfield by Marriott ,"Close to beach, clean rooms. Courteous staff. ","Close to beach, clean rooms. Courteous staff.","Close to beach, clean rooms. Courteous staff.",1,1,1,1,4500,4,0.8,0.98301683
Fairfield by Marriott ,Good for families. Pool was great for kids. ,Good for families. Pool was great for kids.,Good for families. Pool was great for kids.,1,1,1,1,4500,4,0.4,0.904717229
Fairfield by Marriott ,Relaxing spa. Good breakfast variety. ,Relaxing spa. Good breakfast variety.,Relaxing spa. Good breakfast variety.,1,1,1,1,4500,4,0.6,0.993078317
Fairfield by Marriott ,Limited parking. Convenient location. ,Limited parking. Convenient location.,Limited parking. Convenient location. ,1,1,1,1,4500,4,0.6,0.993078317
Hotel Meghalaya ,"Budget-friendly, central. Clean rooms. ","Budget-friendly, central. Clean rooms.","Budget-friendly, central. Clean rooms.",1,1,1,1,2000,3,0,0
Hotel Meghalaya ,"Good location, but bathroom needed maintenance. ","Good location, but bathroom needed maintenance.","Good location, but bathroom needed maintenance.",1,1,1,1,2000,3,0.2,0.42177341
Hotel Meghalaya ,Friendly staff. Great for short business stays. ,Friendly staff. Great for short business stays.,Friendly staff. Great for short business stays.,1,1,1,1,2000,3,0.1,0.630929754
